681	1		All the public areas in the hotel are lovely especially the Firepits.
30	1		I stay in probably 10 hotels a year and this one ranks as one of the best value for the money.
60	1		Yes, the location is great and full marks for hotel management making the best of what they have (modern touches, nice pillows, toiletries, etc.).
8	1		The room was lovely (A King Suite-Wong Room).
226	0		Everything about the place is a 10.
366	0		The plasma TV was nice but there was nothing on to watch, the in-house movie selection was poor but that could be down to there not being many good movies about at the moment.
140	0		The concierge told us that the shuttle service we had chosen had a reputation for not showing up and suggested an alternative service that was actually less expensive and more dependable.
927	0		Above the bed is a painting of a dark mountain (maybe?) and six hands reaching out from the darkness.
879	0		Simply put.
759	1		So, the location is one of the best things about the motel.
805	0		The worst I can say about this place?
235	0		Yes, it is a small room but if you are a light traveler it isn't a deal breaker.
33	0		Here are the highlights.
557	0		99 for 24 hours).
800	0		The rooms are tiny - the bathroom is so small that they can only place a soap and shampoo amenity in the bathroom as there is no room for any extra amenities however a shower cap would have been handy.
288	1		The desk clerk was very helpful with questions about getting around and made good suggestions for breakfast restaurants.
571	0		Also, avoid the lines of people waiting for the Powell cable car lines and instead jump on the (supposedly less picturesque, but still awesome!) almost-empty California line RIGHT IN FRONT of the hotel!
332	0		This was at 5pm when the street is swarming with commuter traffic.
427	0		You were returning from the shower!
18	0		Also we had one of our rooms booked for three but only one king bed !
41	1		There is a cable car service from almost just outside the door.
733	0		Service was spotty, the lobby carpet seemed dirty.
635	0		(EG a 1.
630	0		If you pick the right streets, you miss any big hills.
965	0		Please avoid this hotel like the black plague.
88	0		Great hotel if you are doing business downtown, but if you are a traveller on vacation chose somewhere else.
689	0		If you are planning on doing Alcatraz, I would suggest the evening tour as it would be much less crowded.
806	0		Therefore it was very quiet.
713	0		Returning late in the evening chef was stiff OK to put a bar meal together.
872	0		But nice ... 2 - The homeless love the area around that hotel, no complaints.
967	0		I was happy with the hotel itself.
851	1		In fact, there were very few homeless people outside the Whitcomb, and we felt very safe.
337	0		Tips: If riding the cable cars, the line at the turn-arounds is long and cold.
652	0		I called the front desk about 10 minutes before I was to leave.
419	0		We opted to book a room without a bathroom, however the toilet and shower facilities on our floor were modern and clean.
914	0		Would stay there again.
148	0		I asked that a bottle of champagne be placed in our room in advance of our arrival.
582	1		The room was small, but very comfortable and quiet, with everything we needed.
925	0		They refused to give me a full refund, charged me for one nights stay ($125).
823	0		We were on a tour and the Rep recommended a Chineze restaurant across the road for breakfast - uugghh.
822	1		The bathrooms were well appointed and very clean.
913	0		We ate at a the Little Thai and the House of Sushi and both were delicious.
702	1		There is free internet with a printer, and every afternoon there is a wine/cheese reception in the lobby.
214	0		And here's the catch.
9	1		The area is very safe and I felt secure at all times.
297	0		I believe that the place was originally a condo (there are currently some residents who still reside there), so the walls are thick and we never heard our neighbors (although I could hear from the hallway that they had a young and loud child).
646	0		The room had two upholstered chairs that were only fair for comfort, but room lighting was excellent.
387	1		Food was good, milkshakes were great.
233	0		Both are nice but between the two we like the Harbor Court better.
319	0		The Tuscan also offered complimentary wine happy hour from 5-6pm in the warm &amp; cozy lobby where you can wind down your day and meet other hotel guests or just hang out by yourselves.
246	0		The proprietor grew up in this neighborhood and was able to guide us and answer all our questions.
263	0		a BIG BIG BIG plus was the free buisness center with (angels-singing) high speed internet! I have never seen this before for free in a major city and, although I sometimes had to wait 5-10 mins for a computer, it was well worth it.
602	0		Check-in took about 20 minutes- they seemed busy and it took a while to get to our place in line.
587	0		Highly recommend this hotel for price and location.
241	1		The wine/beer hour and cookies and milk in the evening was a very nice touch.
92	1		The bed and linens were awesome.
989	0		Out of the shadows, a man in normal clothes says &quot; your key doesn't work?
399	0		Room keys did not work in two of the doors, etc.
959	0		so if you just need a place to crash its ok.
796	0		She was having an interesting personal phone call for me to listen to though.
736	1		The location is, of course, excellent.
278	0		If you enjoy Asian fare, give the Bambuddha a try.
345	0		Oh and its very well located too .
723	0		I was extremely disappointed with my recent stay at the Hotel Union Square.
520	1		I was referred to this hotel by a friend that stayed there a few years back with it was the Brighton.
703	0		Yes, it was very noisy even though we had only an alley view.
700	1		The decor was cool and casual.
546	0		Even in smaller cities, we are used to receiving certain benefits for being repeat customers - a nicer room, access to a lounge, and a nice breakfast.
791	1		The restaurant is a bit pricy, but very good.
928	0		On the right is a large profile of a face, and in its background is a hillside with many.....little....crosses.....why, it kind of looks like a cemetery!
870	0		I mean if you're going to Frisco to visit the hotels than maybe consider the Intercontinental or some other 5 star.
655	0		Small and thin towels, thin linens, small room, $43 per day for parking (yeah, its San Francisco), outdated bathroom, etc.
54	1		Large, comfortable rooms.
548	1		All of the staff was very friendly, we had fresh towels everyday even if not requested.
983	0		Fan was broken, etc.
606	0		But it really didn't bother us too much.
364	0		That said, the rooms are in need of a refresher - the carpet in our room was stained, dirty and pulled.
70	0		I would recommend the White Swan Inn to anyone.
543	0		Were I to stay there again, I would go for the rate which includes parking ($27 a day, going rate in the city).
404	0		we stayed here for 3 nights and it was just fantastic peaceful and the staff we're so helpful would recommend this place anytime
197	1		The location is pretty ideal, about 5 mins walk from Market.
616	1		The registration staff was very accomodating and helpful.
145	1		The bed is super comfy, used the iPod dock/alarm clock - which was a nice touch.
228	0		Lunch is a better bet as breakfast is very expensive, and the dinner menu seems limited.
701	1		Very convenient location clean rooms, the beds were comfortable and overall we had a very pleasant stay.
170	0		The receptionist was very polite and we noted her attention to our fatigued condition as she alerted housekeeping of their timing problem.
477	1		Room: Clean, comfy bed, nice bathroom, big wardrobe &amp; never heard any noise from other guests.
926	0		I would stay here again if I needed a budget destination.
865	0		It seemed dirtier than most larger cities and there was an abundance of homeless in the area of the hotel.
61	0		We LOVED this hotel.
786	0		We have stayed on different floors during our three stays.
816	0		Irresponsible, inattentive and unreliable.
728	0		Some might find the tv a joke as it's only a 19&quot; model, but then again, I wasn't shelling out big bucks for watching tv.
420	0		Stingy amenities - free coffee and muffins in the morning, all very well, it's not a bed-and-breakfast, after all; but oh, the cheeseparing of making the guests sign on every day, at $9.
888	0		we had no tv and there was no wifi available, but there was a computer with internet connection available for free next to the reception.
499	1		The three-story Nob Hill Motel is perfect if you drive into San Francisco and want a nice motor court style place.
881	1		Also, the hotel has a computer in the lobby for you to check into your flight, and check on your flight status, which is very helpful.
985	0		972 Sutter is &quot; walkable&quot; to Union Square or Chinatown (10+ blockes straight on Sutter), but eventually you would opt to take the frequent buses 2, 3, or 4, which runs on Sutter coming, and one street down on Post going.
144	0		We stayed in one of the 180 degree Panoramic suites on the last night of our Honeymoon and it was the perfect finish.
346	0		I have no idea why there are so many good reviews for this hotel.
402	0		The first night we arrived pretty late so I think we didn't get the upgrade, we were on the 3rd floor in a smaller room.
637	0		I would definitely stay here again!
589	0		From the moment we first arrived it was pretty much one bad experience after another..Firstly, we arrive at 3pm to be told our room is not ready and to come back in an hour..No drama..Off we go to get something to eat and one hour later arrive back to be checked in by some ditsy airhead who I heard mutter 'I don't have any double beds' (we were 2 females travelling and had booked a room with 2 doubles) but then continued to tap away on her keyboard for at least 5mins before handing us our room keys..
11	1		Dinner the second night was in their Chop House restaurant , which is a must, especially for wine lovers as they have been voted as having one of the top 10 wine lists in the world.
773	1		5 mile walk to the famous Fisherman's Wharf and Peir 39, where all the touristy restaraunts and great food (and Sea Lions) await.
691	0		The check-in was fast.
115	0		Staff were very friendly - I never waited for service - early check-in/late check-out &amp; they stored our bags while we were out of the room but not yet ready for our flight.
599	0		Well worth it.
771	0		If I left it at that I would rate my stay a 3 or 4 but upon check out the front desk hit me with an erroneous charge on my bank card and held funds that I needed on my next leg of my trip.
19	0		We checked in early, no problem, and when we were leaving they held our luggage all day because our flight wasn't until 10: 00 that night.
883	1		This is also one of the few hotels in downtown SF with free parking, but it is rather limited, so don't count on a space being available if you arrive late in the evening.
567	0		We were given a room on the 7th floor, it faced away from the street which i assume is a distinct advantadge as it can get quite noisy with trams etc.
929	0		Also, there is no A/C, but when you crack the window open, there are no screens, so you worry about opening the window to an alley full of trash bins (will bugs crawl in?).
300	0		We stayed for 2 weeks and would recommend it to all looking for a budget hotel in a great location!
141	0		We found a lower rate on hotels and they honored the agreement ($114/night!!), no problem.
608	1		The bedroom had two very comfortable queen beds and the living room had a comfy murphy bed.
109	0		This was not a difficult request due to the size of this property and number of rooms that fit this description- if my first choice was not available, I was hoping for an exterior view and was not restricted by budget.
553	0		These are the TINIEST rooms I have ever seen!
